intent;All;Solo;SoloAdj;SoloObj;AdjObj;AllAdj;AllObj;SoloP;SoloAdjP;SoloObjP;AdjObjP;AllAdjP;AllObjP;IntentP
acces;5;0;0;0;5;5;5;0;0;0;1;1;1;0.0225225225225225
accessibility;12;0;0;5;7;7;12;0;0;0.416666666666667;0.583333333333333;0.583333333333333;1;0.0540540540540541
acreage;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
area;3;0;0;3;0;0;3;0;0;1;0;0;1;0.0135135135135135
aspect;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
association;2;0;0;2;0;0;2;0;0;1;0;0;1;0.00900900900900901
autocorrelation;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
behavior;2;0;0;0;2;2;2;0;0;0;1;1;1;0.00900900900900901
bikeability;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
boundary;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
breakdown;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
calculated;2;0;0;0;2;2;2;0;0;0;1;1;1;0.00900900900900901
casualty;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
category;2;0;2;0;0;2;0;0;1;0;0;1;0;0.00900900900900901
change;12;0;1;9;2;3;11;0;0.0833333333333333;0.75;0.166666666666667;0.25;0.916666666666667;0.0540540540540541
characteristic;2;0;0;1;1;1;2;0;0;0.5;0.5;0.5;1;0.00900900900900901
concentration;2;0;0;2;0;0;2;0;0;1;0;0;1;0.00900900900900901
condition;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
connectivity;2;0;0;2;0;0;2;0;0;1;0;0;1;0.00900900900900901
consequence;3;0;0;0;3;3;3;0;0;0;1;1;1;0.0135135135135135
correlation;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
covered;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
degree;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
density;12;0;0;4;8;8;12;0;0;0.333333333333333;0.666666666666667;0.666666666666667;1;0.0540540540540541
difference;3;0;0;3;0;0;3;0;0;1;0;0;1;0.0135135135135135
distance;3;0;0;0;3;3;3;0;0;0;1;1;1;0.0135135135135135
distribution;17;0;2;1;14;16;15;0;0.117647058823529;0.0588235294117647;0.823529411764706;0.941176470588235;0.882352941176471;0.0765765765765766
dynamic;2;0;0;0;2;2;2;0;0;0;1;1;1;0.00900900900900901
effect;14;0;0;14;0;0;14;0;0;1;0;0;1;0.0630630630630631
emission;3;0;0;0;3;3;3;0;0;0;1;1;1;0.0135135135135135
exposure;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
factor;6;0;0;1;5;5;6;0;0;0.166666666666667;0.833333333333333;0.833333333333333;1;0.027027027027027
flow;2;0;0;2;0;0;2;0;0;1;0;0;1;0.00900900900900901
impact;10;0;0;9;1;1;10;0;0;0.9;0.1;0.1;1;0.045045045045045
influence;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
interaction;2;0;0;2;0;0;2;0;0;1;0;0;1;0.00900900900900901
level;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
location;3;0;0;3;0;0;3;0;0;1;0;0;1;0.0135135135135135
map;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
method;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
mileage;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
mix;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
need;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
number;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
pattern;17;0;1;4;12;13;16;0;0.0588235294117647;0.235294117647059;0.705882352941177;0.764705882352941;0.941176470588235;0.0765765765765766
percentage;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
population;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
portion;4;0;0;4;0;0;4;0;0;1;0;0;1;0.018018018018018
potential;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
rate;4;0;0;1;3;3;4;0;0;0.25;0.75;0.75;1;0.018018018018018
ratio;4;0;0;2;2;2;4;0;0;0.5;0.5;0.5;1;0.018018018018018
relationship;13;0;0;12;1;1;13;0;0;0.923076923076923;0.0769230769230769;0.0769230769230769;1;0.0585585585585586
result;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
route;2;0;0;0;2;2;2;0;0;0;1;1;1;0.00900900900900901
saving;1;0;1;0;0;1;0;0;1;0;0;1;0;0.0045045045045045
site;2;0;0;0;2;2;2;0;0;0;1;1;1;0.00900900900900901
slope;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
snowfall;1;0;1;0;0;1;0;0;1;0;0;1;0;0.0045045045045045
spread;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
structure;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
surface;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
topography;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
trajectory;1;0;0;1;0;0;1;0;0;1;0;0;1;0.0045045045045045
trend;7;0;0;0;7;7;7;0;0;0;1;1;1;0.0315315315315315
type;2;0;1;0;1;2;1;0;0.5;0;0.5;1;0.5;0.00900900900900901
variation;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
volume;1;0;0;0;1;1;1;0;0;0;1;1;1;0.0045045045045045
walkability;2;1;0;0;1;1;1;0.5;0;0;0.5;0.5;0.5;0.00900900900900901
zone;5;0;0;3;2;2;5;0;0;0.6;0.4;0.4;1;0.0225225225225225
