crimes;stations;plant;spending;yards;landfill;structure;flows;farming;use;store;road;piste;proximity;bus;accidents;widening;activity;stops;Amsterdam;Virus;based;removal;streets;arsons;sales;locations;age;years;groups;houses;district;candidates;coming;block;robberies;density;units;relative;trees;elms;calls;tornadoes;clusters;type;area;schools;enforcement;coefficients;runway;properties;neighborhood;region;cyclists;scales;population;estimated;emissions;fields;activities;construction;data;location;potential;services;distribution;hospitals;buses;photography;Dynasty;access;environment;associated;Rail;populations;length;level;living;number;businesses;metric;characteristics;foods;heterogeneity;roads;segregation;composition;conditions;landscapes;residences;networks;visibility;immigrants;growth;uses;pattern;scale;prices;price;clustering;patterns;change;modeling;industries;establishments;students;Leeds;factors;IV;changes;Zone;rates;districts;facilities);pollution;myrtles;sinks;seniors;trams;trains;climate;types;resources;concentration;towns;forestry
individual;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fire;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0.0625;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
treatment;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
water;0;0;0.5;0;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0344827586206897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0454545454545455;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0;0;0
public;0;0;0;0.0714285714285714;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0681818181818182;0.125;0;0;0;0;0;0;0.0344827586206897;0.25;0;0;0;0;0;0;0;0;0.214285714285714;0;0;0;0;0;0;0;0;0.214285714285714;0;0.333333333333333;0.214285714285714;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0.214285714285714;0;0;0;0;0.0714285714285714;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0;0.0384615384615385;0;0;0;0;0;0;0;0;0;0;0;0;0;0.214285714285714;0.214285714285714;0.214285714285714;0;0;0;0;0;0
100;0;0;0;0;0.0666666666666667;0;0;0;0;0.0256410256410256;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0.0434782608695652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;1;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
social;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0.04;0;0;0;0.0526315789473684;0;0;0;0;0;0;0;0.0588235294117647;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
factories,;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0.04;0;0;0;0.0526315789473684;0;0;0;0;0;0;0;0.0588235294117647;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
local;0;0;0;0;0;0;0.117647058823529;0;0;0;0;0;0;0.08;0;0;0;0.105263157894737;0;0;0;0;0;0;0;0.117647058823529;0.117647058823529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.117647058823529;0;0;0;0;0.117647058823529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.117647058823529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
microclimate,;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0.04;0;0;0;0.0526315789473684;0;0;0;0;0;0;0;0.0588235294117647;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
traffic;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0.04;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0.0454545454545455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
land;0;0;0;0.142857142857143;0.0666666666666667;0;0.0588235294117647;0;0;0.128205128205128;0.0666666666666667;0;0;0.04;0;0.142857142857143;0;0.0526315789473684;0;0.0666666666666667;0.0666666666666667;0;0;0;0;0.0588235294117647;0.0588235294117647;0.0666666666666667;0;0;0;0;0;0;0;0.04;0.04;0.0227272727272727;0;0;0;0;0;0.0588235294117647;0;0.172413793103448;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0.136363636363636;0;0;0;0.142857142857143;0;0.2;0.2;0.0666666666666667;0.0666666666666667;0;0;0;0;0;0;0.111111111111111;0;0;0;0.0434782608695652;0;0.142857142857143;0.0833333333333333;0.0666666666666667;0.2;0.2;0.0666666666666667;0.111111111111111;0.0588235294117647;0;0;0.117647058823529;0.2;0;0;0.25;0;0.0769230769230769;0;0;0.0666666666666667;0;0;0;0.2;0.0666666666666667;0;0.0833333333333333;0;0;0;0;0;0;0.2;0.2;0.2;0;0.0666666666666667;0
existing;0;0;0;0;0.0666666666666667;0;0;0;0;0.0256410256410256;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0.0434782608695652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
closest;0;0;0;0;0.0666666666666667;0;0;0;0;0.0256410256410256;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0.0434782608695652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
our;0;0;0;0;0.0666666666666667;0;0;0;0;0.0256410256410256;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0.0434782608695652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ski;0;0;0;0;0;0;0;0;0;0;0;1;0.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
