intent,qid,code
locations,18,o
locations,23,o
trajectory,30,o
condition,59,o
pattern,62,o
impact,65,o
site,66,o
relationship,67,o
need,68,o
effect,74,o
saving,75,o
consequences,76,o
flow,82,o
pattern,87,o
flow,88,o
impact,94,o
type,101,o
snowfall,103,o
route,104,o
slope,105,o
relationship,107,o
route,108,o
pattern,110,o
effect,112,o
consequences,113,o
casualty,118,o
covered,119,o
locations,120,o
categories,121,o
distribution,124,o
distribution,134,o
trend,136,o
trends,137,o
categories,138,o
rate,139,o
mileage,140,o
rate,141,o
relationship,142,o
relationship,143,o
distribution,145,o
distribution,146,o
trend,147,o
concentration,148,o
portion,151,o
rates,152,o
results,153,o
portions,154,o
density,155,o
density,156,o
areas,157,o
density,158,o
density,159,o
density,160,o
density,161,o
surface,162,o
concentration,163,o
trends,164,o
relationship,167,o
relationship,170,o
acreage,174,o
breakdown,179,o
boundaries,181,o
percentage,184,o
zones,185,o
zone,186,o
relationship,189,o
zones,192,o
spread,197,o
patterns,205,o
areas,207,o
walkability,210,o
density,211,o
connectivity,212,o
mix,213,o
bikeability,214,o
density,215,o
degree,216,o
connectivity,217,o
topography,218,o
density,219,o
effect,220,o
impact,222,o
accessibility,224,o
distance,225,o
distance,227,o
distance,228,o
population,233,o
dynamics,234,o
emission,236,o
emission,237,o
emission,238,o
sites,239,o
access,240,o
density,241,o
factors,245,o
factors,246,o
distribution,248,o
factors,249,o
accessibility,251,o
influence,254,o
access,257,o
accessibility,260,o
patterns,261,o
impact,262,o
pattern,263,o
patterns,267,o
relationship,272,o
accessibility,274,o
changes,275,o
factors,276,o
impact,278,o
effect,282,o
effect,285,o
distribution,291,o
ratio,292,o
density,293,o
correlation,294,o
ratio,297,o
ratio,298,o
number,299,o
ratio,300,o
structure,301,o
calculated,302,o
effect,305,o
accessibility,306,o
level,308,o
volumes,309,o
trends,314,o
difference,316,o
pattern,324,o
effects,326,o
accessibility,329,o
distribution,330,o
change,334,o
changes,335,o
changes,336,o
changes,337,o
distribution,338,o
pattern,340,o
relationships,341,o
relationships,342,o
pattern,343,o
behavior,351,o
behavior,352,o
pattern,353,o
relationship,354,o
patterns,355,o
differences,356,o
effect,357,o
autocorrelation,360,o
distribution,361,o
factors,362,o
patterns,363,o
relationships,364,o
differences,367,o
characteristics,368,o
methods,377,o
factors,379,o
characteristics,380,o
pattern,382,o
relationships,383,o
changes,386,o
trends,387,o
distribution,388,o
changes,389,o
variations,392,o
impacts,393,o
pattern,394,o
patterns,395,o
potential,397,o
interactions,399,o
changes,400,o
distribution,403,o
map,404,o
effects,407,o
association,408,o
impact,410,o
impact,411,o
exposure,412,o
types,417,o
walkability,419,o
accessibility,421,o
distribution,424,o
aspect,430,o
trends,431,o
rates,432,o
density,433,o
impact,434,o
dynamics,435,o
accessibility,436,o
access,437,o
access,438,o
access,439,o
accessibility,440,o
accessibility,441,o
impact,442,o
changes,443,o
changes,444,o
changes,445,o
calculated,446,o
effect,447,o
effect,448,o
effect,449,o
changes,450,o
interactions,451,o
patterns,452,o
areas,453,o
distribution,454,o
distribution,455,o
distribution,456,o
distribution,457,o
distribution,458,o
portion,459,o
portion,460,o
accessibility,461,o
association,462,o
effect,463,o
effect,464,o
accessibility,465,o
zones,466,o
zones,467,o
consequences,468,o
